sample_idx/template_idx,template_0,template_1,template_2,template_3,template_4,template_5,template_6,template_7,template_8,template_9,template_10,template_11,template_12,template_13,template_14,template_15,template_16,template_17,template_18,template_19
sample_15,0.221462,0.333544,0.115445,0.316859,0.289893,0.258260,0.115873,-0.029031,0.046287,0.100050,0.117170,0.129277,0.023812,0.151727,0.121132,0.082131,0.023888,0.064287,0.040784,0.173593
sample_16,0.200798,0.324361,0.026734,0.265940,0.281209,0.345234,0.026982,0.063045,0.115983,0.125292,0.185485,0.054724,0.070656,0.217811,0.055293,0.087472,0.003562,0.055718,0.056097,0.169253
sample_17,0.066965,0.456832,0.164148,0.257030,0.104014,0.126419,0.097943,0.110206,0.118417,-0.027497,0.124882,0.021677,0.044673,0.117505,0.081359,0.269679,0.105431,0.082899,0.151742,0.055081
sample_18,0.033696,0.432372,0.211295,0.166125,0.084195,0.165104,0.074356,0.054973,-0.003381,-0.015161,-0.042593,0.027882,0.070658,-0.051012,0.023362,0.205082,0.045405,0.019358,0.088163,0.030049
sample_19,0.169186,0.244822,0.131613,0.090279,0.274806,0.290240,0.024196,0.129045,0.180313,0.077965,0.138342,0.089671,-0.009383,0.266122,0.049731,0.060023,0.096056,0.130493,0.106516,0.078768
sample_20,0.099713,0.391308,0.216151,0.211264,0.150208,0.234749,0.218220,0.048309,0.040648,0.040413,0.035944,0.053486,0.098246,0.014316,-0.023546,0.260206,0.065581,0.005745,0.029871,0.093663
sample_21,0.049179,0.295319,0.286864,0.039908,0.067046,0.152508,0.176516,0.077361,0.114729,-0.023151,0.038269,0.052037,0.052989,0.158144,-0.005641,0.326992,0.023001,0.105568,0.151476,0.015575
sample_22,0.142671,0.245724,0.189977,0.697586,0.112083,0.069107,0.109185,0.150338,0.149073,0.037460,0.025224,0.113850,0.043753,-0.000788,0.156395,0.057662,0.114211,0.116790,0.123662,0.143840
sample_23,0.211159,0.223489,0.129858,0.460885,0.265944,0.176607,0.068275,0.193556,0.159805,0.138508,0.124919,0.145409,0.019542,0.043648,0.306476,0.141546,0.093278,0.178466,0.122548,0.223935
sample_24,0.158234,0.232441,0.164328,0.532463,0.203854,0.130679,0.103209,0.219916,0.046723,0.026267,0.005020,0.070257,0.117419,-0.007514,0.178718,0.156445,0.077143,0.162360,0.143407,0.166940
sample_25,0.120072,0.211987,0.118651,0.573061,0.197602,0.147995,0.152935,0.083737,0.079067,0.008195,0.028262,0.123690,0.075039,-0.086942,0.155074,0.076496,0.136776,0.102883,0.109650,0.064328
sample_26,0.290446,0.162216,0.131902,0.479260,0.253742,0.102293,0.081462,0.203248,0.141189,0.098362,0.153982,0.091921,0.074261,0.109729,0.149133,0.131996,0.020133,0.067161,0.092537,0.175211
sample_27,0.075153,0.257538,0.206430,0.405226,0.139857,0.031990,0.076904,0.206585,0.080466,0.042378,-0.011704,0.044112,0.070440,-0.081658,0.140881,0.276170,0.083708,0.026325,0.116008,0.118141
sample_28,0.222341,0.157116,0.124538,0.560787,0.285811,0.141702,-0.006432,0.174138,0.235599,0.115652,0.159181,0.051272,0.069147,0.114834,0.077416,0.083784,0.045067,0.049004,0.098219,0.163028
sample_29,0.055238,0.180809,0.095369,0.347052,0.022350,0.045707,0.053264,0.076344,0.025732,0.014521,0.019232,0.008676,0.155666,-0.026986,0.048054,0.093078,0.048017,-0.020949,0.073048,-0.019476
sample_30,0.108003,0.212656,0.135868,0.472827,0.149787,0.124567,0.067487,0.048879,0.049385,0.017799,0.078723,0.079521,0.124337,0.005987,0.067373,0.131500,0.108768,0.018703,0.036500,0.048333
sample_31,0.042538,0.176043,0.050161,0.466879,0.081678,0.096785,0.087803,0.044545,0.055116,0.081189,0.025885,0.043636,0.049421,-0.081866,0.057484,0.063112,0.080219,-0.039115,0.012745,0.019984
sample_32,0.135066,0.255361,0.163126,0.468071,0.182485,0.147823,0.068218,0.022693,0.097677,-0.064726,0.096915,0.156280,0.006724,-0.016127,0.151546,0.131281,0.148549,0.162233,0.087279,0.058222
sample_33,0.107386,0.211673,0.119038,0.477148,0.145512,0.118880,0.058250,0.055884,0.064996,0.039419,0.073169,0.077000,0.120581,0.015205,0.070838,0.125556,0.098701,0.014403,0.066661,0.080972
sample_34,0.205156,0.183810,0.216518,0.552676,0.145410,0.078632,0.133678,0.121034,0.053864,0.108078,0.006583,0.066168,0.112067,-0.076632,0.100020,0.076637,0.031212,0.025902,0.017223,0.127472
sample_35,0.231470,0.313465,0.164521,0.509413,0.204527,0.057506,0.064758,0.231758,0.183590,0.034825,0.148399,0.151178,-0.006096,0.116066,0.101248,0.210500,0.133086,0.023672,0.241284,0.303003
sample_36,0.187936,0.279019,0.258765,0.486631,0.145985,0.114455,0.132008,0.125002,0.050000,0.046361,0.073303,0.155858,0.049536,0.051937,0.217181,0.022722,0.090469,0.212938,0.104283,0.210966
sample_37,0.167672,0.232818,0.179841,0.461236,0.112576,0.060865,0.153383,0.119617,0.056066,0.035075,-0.004749,0.192696,0.107542,0.003566,0.149996,0.044801,0.072259,0.150019,0.195344,0.207638
sample_38,-0.037238,0.216828,0.069821,0.038722,0.005238,0.021098,0.070466,0.141055,0.118072,0.025461,0.096057,0.323777,-0.002980,0.159293,0.186573,0.054235,0.086275,0.175366,0.262977,0.131703
sample_39,0.137878,0.132879,0.146892,0.039072,0.203766,0.130235,0.078104,0.123968,0.314406,0.012889,0.238345,0.154446,0.013559,0.237160,0.107728,0.136640,0.118918,0.191808,0.147964,0.092901
sample_40,0.228343,0.253373,0.038335,0.077920,0.246200,0.117855,0.038649,0.279105,0.254998,0.110497,0.283360,0.297301,0.032171,0.303877,0.262460,0.094940,0.134599,0.153581,0.277352,0.218830
sample_41,0.108145,0.275985,0.109791,0.066493,0.100280,0.372031,0.157428,0.083361,0.097097,0.004160,0.069375,0.075991,0.037450,0.091373,0.069556,0.193546,0.074546,0.019677,0.057147,0.066147
sample_42,0.208430,0.173164,-0.012341,0.066276,0.236539,0.262631,0.061603,0.173200,0.263505,0.018483,0.225677,0.027246,0.030843,0.311424,0.077845,0.084656,0.049013,0.069410,0.197167,0.095847
sample_43,0.069321,0.354550,0.107367,0.093509,0.117810,0.404935,0.061689,0.125226,0.099400,0.055453,0.095489,0.051268,0.072632,0.033459,0.094955,0.409091,0.004376,0.056671,0.076518,0.071704
sample_44,0.047526,0.351501,0.085923,0.110644,0.039791,0.309992,0.128337,0.050268,0.141616,0.021885,0.062178,0.013877,0.039873,0.078249,0.060143,0.319288,0.029792,0.025787,0.125843,0.031757
sample_45,0.014478,0.034379,0.136143,-0.035202,0.015659,-0.024804,0.438606,0.021657,0.060855,0.061463,0.019308,0.017084,0.138379,0.075789,-0.041932,0.057960,0.087740,0.057327,0.025007,0.011678
sample_46,0.335806,0.117946,-0.100991,0.151156,0.174687,0.018814,0.073373,0.511854,0.161379,0.109046,0.167892,0.150552,0.036516,0.028866,0.244388,0.022695,0.078405,0.011362,0.023849,0.178236
sample_47,0.388559,0.111659,-0.012148,0.163006,0.196751,0.095672,0.108563,0.483536,0.158611,0.111920,0.165223,0.119499,0.024959,0.120500,0.209613,0.035659,-0.014246,-0.028267,0.036776,0.122626
sample_48,0.216876,0.090908,-0.011991,0.174072,0.206599,0.051647,0.134253,0.469254,0.223798,0.139155,0.124982,0.134896,0.053196,0.188347,0.345655,0.099520,0.157012,0.275944,0.236840,0.200314
sample_49,0.376923,0.049689,-0.011064,0.113363,0.226817,0.071011,0.031350,0.451350,0.263328,0.087215,0.139837,0.171737,0.045592,0.206581,0.122952,0.019312,0.104193,0.113047,0.238406,0.084710
sample_50,0.292768,0.020701,-0.062367,0.157747,0.178416,-0.015363,-0.001382,0.355295,0.196855,0.212454,0.164804,0.118130,0.032123,0.064535,0.165444,-0.011260,0.089727,0.004704,0.057034,0.125729
sample_51,0.153747,0.173045,-0.056905,0.130989,0.156466,0.029314,0.023897,0.444831,0.114044,0.034465,0.089211,0.218270,0.090227,0.138119,0.306199,0.116664,0.229153,0.176066,0.379845,0.181164
sample_52,0.140590,0.046281,0.030621,0.089146,0.030469,-0.040234,0.099079,0.266917,0.109234,0.092189,-0.043896,0.002839,0.048101,-0.016721,0.053448,0.007835,0.027497,-0.051684,-0.011383,0.032730
sample_53,0.261571,0.107171,-0.043082,0.111048,0.254724,0.015753,0.019225,0.528352,0.213713,0.128717,0.114432,0.100252,0.129824,0.100322,0.139112,0.004708,0.166478,0.077119,0.201913,0.167592
sample_54,0.303089,0.133649,0.001235,0.124401,0.203534,0.042211,0.008248,0.438752,0.125251,0.128891,0.065984,0.204136,0.054223,0.188128,0.273040,0.072435,0.132761,0.205491,0.194018,0.175854
sample_55,0.328783,0.101804,-0.043156,0.149680,0.218897,0.148594,0.104266,0.390472,0.206186,0.162561,0.210119,0.080610,-0.002414,0.243905,0.288416,0.083694,-0.043679,0.034780,0.054456,0.133013
sample_56,0.333927,-0.014629,-0.050447,-0.016217,0.237486,0.011663,0.030509,0.320754,0.187009,0.081125,0.151385,0.018724,0.030257,0.130932,0.246846,0.106544,-0.002579,0.073095,0.017177,0.163864
sample_57,0.174139,0.073329,-0.020198,0.250230,0.037915,0.015462,0.000727,0.285222,0.102258,0.145267,0.009040,0.158541,-0.043522,0.113788,0.300137,0.008279,-0.002168,0.086327,0.060702,0.108501
sample_58,0.121234,0.114775,0.056016,0.183531,0.038589,0.012069,0.028368,0.216254,0.102111,0.080798,0.103246,0.202462,0.058610,0.101295,0.241725,-0.015910,0.047438,0.132019,0.211303,0.057866
sample_59,0.169321,-0.008462,-0.120933,0.068587,0.030337,-0.087770,-0.008198,0.439565,0.046922,0.059206,-0.048921,0.084628,0.025055,-0.029829,0.175435,-0.025978,0.145779,0.028901,0.121115,0.116457
sample_60,0.182478,0.182174,0.030066,0.141886,0.079740,-0.065188,0.076942,0.520835,0.126123,0.087661,0.054663,0.221473,0.086736,0.066884,0.249919,0.078115,0.099968,0.120135,0.298914,0.119060
sample_61,0.317978,0.078037,0.009348,0.088242,0.174843,-0.023255,0.087955,0.561566,0.153022,0.082199,0.051788,0.150080,-0.008555,0.066443,0.353808,0.126392,0.114805,0.093037,0.114072,0.221326
sample_62,0.141881,0.070823,-0.044058,0.211303,0.034289,0.016773,0.090161,0.263651,0.080310,0.165138,-0.028042,0.051874,-0.052274,-0.010107,0.309755,0.086504,0.069339,0.106647,0.066043,0.086133
sample_63,0.104821,-0.013658,-0.174949,0.079151,-0.052818,-0.114339,-0.079313,0.258376,-0.069380,0.039956,-0.028665,0.070575,0.041594,-0.012297,0.040700,-0.055509,0.019756,-0.070033,0.022338,0.066761
sample_64,0.156638,0.093951,0.098832,0.212765,0.110236,0.064344,0.097644,0.339424,0.078910,0.079546,-0.025469,0.102278,0.112938,0.106080,0.321144,0.067053,0.244947,0.197611,0.121303,0.109829
sample_65,0.298843,0.067524,-0.044225,0.146956,0.148926,0.014034,0.002342,0.363696,0.197380,0.140965,0.183587,0.075447,0.095593,0.139932,0.128413,0.067350,0.066067,-0.040539,0.082468,0.161880
sample_66,0.429764,0.124597,-0.092954,0.178606,0.299494,0.093486,0.073029,0.438538,0.149261,0.166201,0.177274,0.135186,0.058301,0.100011,0.200877,-0.025376,0.010385,0.083547,0.111363,0.091562
sample_67,0.293062,0.133260,-0.073647,0.144431,0.245592,0.075194,0.008674,0.519381,0.264735,0.077402,0.115248,0.091085,-0.006888,0.136207,0.244209,0.062389,0.043029,0.099020,0.178133,0.249314
sample_68,0.181429,0.007496,-0.046196,0.075034,0.066343,-0.037292,0.071422,0.339489,0.032345,0.131566,-0.020432,0.108654,0.003650,-0.040709,0.126890,0.014786,0.102820,0.023843,0.005077,0.043547
sample_69,0.238141,0.173849,0.025111,0.242221,0.148002,0.063601,0.037274,0.381594,0.164672,0.126467,0.147976,0.224978,-0.019167,0.179800,0.417805,0.132358,0.073475,0.168776,0.183126,0.146763
sample_70,0.069191,0.101520,0.026034,0.096091,0.025702,0.101950,0.108446,0.313174,0.180584,0.017048,0.028110,0.120177,0.039330,0.119701,0.315012,0.001600,0.082803,0.190948,0.194993,0.076754
sample_71,0.087480,0.210607,0.082224,0.075521,0.001462,0.066130,0.117699,0.159553,0.246733,0.046800,0.211505,0.146334,0.054570,0.227440,0.058162,0.188297,0.051953,0.031913,0.158357,0.198489
sample_72,0.075095,0.110297,0.141062,-0.008363,0.102547,0.132669,0.127346,0.126801,0.180532,0.063282,0.118710,0.173352,0.094055,0.129507,0.110668,0.185568,0.053001,0.161270,0.239228,0.075722
sample_73,0.251491,0.135089,0.117210,0.059952,0.202257,0.202385,0.058560,0.193448,0.339627,0.132157,0.477718,0.186786,0.109607,0.336595,0.127452,0.128504,0.162844,0.185360,0.132992,0.235430
sample_74,0.082804,0.126696,0.047498,0.160026,0.095839,0.069798,0.108779,-0.011470,0.050794,0.045311,0.349811,0.089510,0.152025,0.114556,0.160316,0.187624,0.022212,0.031194,0.009576,0.139066
sample_75,0.148024,0.237167,0.219470,0.117511,0.145223,0.107038,0.131251,0.034769,0.131870,-0.035739,0.198124,0.193637,0.118731,0.131398,0.290788,0.127846,0.182705,0.168310,0.136001,0.173111
sample_76,0.274110,0.100963,0.013220,0.053976,0.290281,0.130229,0.024925,0.064766,0.240001,0.200746,0.542200,0.083956,0.127686,0.195347,0.116509,0.164511,0.117972,-0.016765,-0.065549,0.154931
sample_77,0.108169,0.106515,0.024119,0.025058,0.151192,0.066067,0.152561,0.077824,0.126206,0.121556,0.430023,0.213232,0.141723,0.075803,0.109725,0.227639,0.228076,-0.001200,-0.063261,0.141659
sample_78,0.116336,0.226912,0.073771,0.131962,0.113034,0.007009,0.139178,0.275422,0.120531,-0.000473,0.072745,0.250552,0.023246,0.167669,0.355093,0.113651,0.179374,0.260949,0.262503,0.197246
sample_79,0.219618,0.082359,0.046322,0.061951,0.080063,0.079459,0.173912,0.327951,0.099903,0.034328,0.115608,0.405715,0.043693,0.048248,0.210809,0.075621,0.348638,0.172124,0.158541,0.139583
sample_80,0.202046,0.135962,0.156717,-0.026588,0.132230,0.084634,0.203967,0.125707,0.127378,0.070985,0.305960,0.145346,0.518555,0.167041,0.113366,0.153030,0.095962,0.132173,0.138102,0.184929
sample_81,0.190408,0.099027,0.167581,0.045856,0.173066,0.133727,0.174222,0.081085,0.163001,0.025223,0.186595,-0.006721,0.365400,0.208435,0.068711,0.117529,0.109719,0.139591,0.232180,0.096315
sample_82,0.255176,0.108763,0.104923,-0.017173,0.158448,0.122468,0.183933,0.149947,0.287293,0.086047,0.420522,0.191296,0.318808,0.296953,0.052800,0.120280,0.071478,0.110949,0.193398,0.135863
sample_83,0.206572,0.134729,0.229575,0.141851,0.308084,0.202378,0.106831,0.082944,0.055754,0.021177,0.089205,0.069388,0.353812,0.139531,0.118823,0.080058,0.177523,0.210243,0.176841,0.131032
sample_84,0.107303,0.048941,0.351340,0.066599,0.134603,0.066198,0.105906,-0.002324,0.044910,-0.017473,0.084973,0.095922,0.443770,0.081941,-0.026825,0.086996,0.139307,0.151502,0.171324,0.064484
sample_85,0.097155,0.147878,0.367279,0.079928,0.083094,0.045589,0.129161,0.017792,0.086013,-0.021519,0.102989,0.164458,0.313716,0.012676,0.067493,0.043682,0.140752,0.246262,0.175845,0.152111
sample_86,0.030585,0.131085,0.175951,0.121095,0.017512,0.106042,0.073753,0.011435,0.052745,-0.005369,0.075025,-0.017365,0.282569,0.034896,0.084521,0.148933,-0.035902,0.056902,0.098301,0.056433
sample_87,0.223149,0.130125,0.155083,0.002414,0.287693,0.164526,0.102901,0.131553,0.215602,0.001110,0.213300,0.020920,0.352765,0.175135,0.143592,0.209444,0.029824,0.106393,0.139960,0.148495
sample_88,0.104973,0.029291,0.280380,0.045005,0.157063,0.004735,0.122744,0.029235,0.047762,0.009516,-0.003248,-0.006841,0.361649,0.070950,0.050031,0.017178,0.105960,0.107991,0.048072,0.014556
sample_89,0.142905,0.115475,0.074694,0.035517,-0.070500,0.056037,0.150441,0.068416,0.129809,-0.013084,0.306901,0.098814,0.279353,0.104106,0.050663,0.036774,-0.027066,-0.064528,0.226490,0.140878
sample_90,0.256916,0.088452,0.257979,0.142572,0.252847,0.028795,0.065070,0.024269,0.204657,0.109901,0.190643,0.121365,0.088167,0.179802,-0.008778,-0.013125,0.129308,0.245341,0.101985,0.075910
sample_91,0.218736,0.154548,0.131364,0.153358,0.304223,0.216048,0.068441,0.154225,0.152197,0.069505,0.151949,0.002281,0.210940,0.120111,0.114054,0.110637,0.016069,0.137532,0.182777,0.086534
sample_92,0.132101,0.082182,0.132744,0.046734,0.123024,0.025720,0.132242,0.122117,0.273153,0.029070,0.202547,0.129775,0.329836,0.143202,-0.002764,0.050606,0.009745,0.124562,0.295124,0.196518
sample_93,0.182885,0.135591,0.170656,0.146361,0.273011,0.172687,0.097199,0.176184,0.030535,0.094366,0.069106,0.091151,0.358229,0.088645,0.176304,0.123895,0.142037,0.191871,0.165704,0.157742
sample_94,0.173943,0.127721,0.234619,0.118683,0.223882,0.160759,0.102074,0.099154,0.126413,0.044970,0.119529,0.023182,0.352707,0.082718,0.019360,0.195944,0.094367,0.118175,0.251522,0.091635
sample_95,0.088155,0.121550,-0.032952,0.041669,0.048837,0.131722,0.200030,0.119586,0.069234,0.019591,0.216522,-0.005317,0.411841,0.112744,0.201260,0.230874,-0.004536,0.022726,0.226519,0.111766
sample_96,0.059284,-0.003590,0.235748,0.078491,0.085724,-0.000949,0.102694,0.133108,0.099653,0.039476,0.091096,0.156258,0.377816,0.056301,0.023518,0.109079,0.106179,0.191592,0.344629,0.121513
sample_97,0.053507,0.097331,0.032568,0.019704,0.089437,0.011394,0.109213,0.130121,0.262345,-0.029476,0.095770,0.103524,0.128058,0.165306,0.118210,0.106005,0.141933,0.155876,0.179928,0.036656
sample_98,0.119976,0.080608,0.201218,0.075958,0.060886,0.048678,0.171090,0.173669,0.164843,-0.020720,0.095467,0.162473,0.364037,0.031457,0.048992,0.095304,0.167507,0.280643,0.353800,0.139178
sample_99,0.183196,0.217651,0.067276,0.065615,0.058656,0.073840,0.155102,0.093544,0.173602,-0.021065,0.157932,0.095861,0.262699,0.193247,0.039375,0.056934,0.025336,0.069786,0.220288,0.141565
sample_100,0.104324,0.116913,0.211189,0.010353,0.071119,0.006815,0.174612,0.118400,0.148908,-0.021034,0.155453,0.230921,0.249705,0.133316,0.102206,0.073142,0.110840,0.178203,0.210420,0.071477
sample_101,0.079908,0.137279,0.166680,0.031918,0.067197,0.101893,0.200386,0.047522,0.052328,0.018039,0.085988,0.109487,0.368005,0.118276,0.106487,0.067303,-0.014966,0.173044,0.136138,-0.000685
sample_102,0.066773,0.115904,0.120003,0.055126,0.058129,0.089619,0.087860,0.058905,0.013128,-0.084789,0.024476,-0.014359,0.447453,0.034302,0.089186,0.121281,-0.057560,0.045628,0.133615,0.035628
sample_103,-0.037521,0.226000,0.078301,0.094715,-0.010677,0.015636,0.052107,0.148196,0.100859,-0.027937,0.005051,0.244141,0.028753,0.142250,0.317458,0.069408,0.116912,0.123027,0.220199,0.126190
sample_104,0.063671,0.143335,0.078316,0.051346,0.019566,0.096600,0.116905,0.014885,-0.000289,-0.003208,0.089049,-0.029441,0.302363,0.041066,0.041730,0.209208,-0.055350,-0.036997,0.154917,0.046459
sample_105,0.052369,0.111277,0.004170,-0.049775,0.171970,0.188324,0.005400,0.116928,0.166686,-0.023133,0.172822,0.154569,0.141700,0.424133,-0.024882,0.054586,0.074365,0.146754,0.119881,0.084051
sample_106,0.141821,0.067038,0.026140,-0.028933,0.187179,0.200284,0.022060,0.220045,0.294594,0.140807,0.230737,0.055072,0.062177,0.463073,0.073896,0.076812,0.063886,0.132104,0.171573,0.055148
sample_107,0.015741,0.113423,0.022512,0.094555,0.056675,0.206702,0.061521,0.142362,0.149492,0.031873,0.049357,0.064403,0.062187,0.303775,0.058017,0.023012,0.043230,0.176452,0.171594,0.049736
sample_108,0.136352,0.065427,0.058871,0.114600,0.127492,0.250296,0.119106,0.121551,0.256709,0.106383,0.139323,0.033839,0.060581,0.305037,0.198384,0.104699,0.023799,0.217443,0.122509,0.190648
sample_109,0.180961,0.053092,0.070552,0.043766,0.132999,0.082969,0.075675,0.128528,0.103019,0.017486,0.057760,0.077692,0.016634,0.096981,0.454522,0.087954,0.094754,0.203728,0.101969,0.216374
sample_110,0.140814,0.197941,-0.041649,0.139053,0.237866,0.166494,0.098275,0.224277,0.169191,0.028157,0.094964,0.175118,0.042126,0.227701,0.641436,0.110574,0.126602,0.281659,0.130249,0.164055
sample_111,0.218636,0.107806,0.077144,0.041369,0.120019,0.141453,0.076927,0.162998,0.016165,0.055801,0.000342,0.065096,0.108747,0.024130,0.484892,0.149923,-0.034161,0.166200,0.046478,0.129265
sample_112,0.115143,0.133644,0.047098,0.126530,0.205372,0.142151,0.114413,0.141726,0.061063,-0.025718,0.039732,0.119402,0.069267,0.161036,0.587862,0.061102,0.021604,0.199226,0.082601,0.108810
sample_113,-0.016093,0.143991,0.029863,0.131127,0.005219,0.018509,0.048113,0.207971,0.196046,0.032704,0.055815,0.180549,-0.048201,0.194627,0.275714,0.055008,0.163861,0.147060,0.249607,0.122926
sample_114,0.009739,0.137320,0.107889,0.135993,0.101378,0.034109,0.146643,0.167905,0.112423,0.021856,-0.037266,0.270763,0.012677,0.061708,0.397000,0.113489,0.106344,0.240078,0.116956,0.025499
sample_115,0.240939,0.106010,0.147805,0.067633,0.122515,0.092151,0.113093,0.202672,0.206898,0.008728,0.174180,0.115609,0.034506,0.109768,0.341106,0.034767,0.053948,0.287638,0.144546,0.162121
sample_116,0.170664,0.252000,0.065884,0.160763,0.260561,0.117875,0.051559,0.159074,0.211520,0.044931,0.141407,0.192249,0.035931,0.259821,0.097162,0.304197,0.126543,0.119119,0.184856,0.141865
sample_117,0.135777,0.149660,0.061880,0.087228,0.047701,0.110713,-0.008703,0.001912,0.148381,0.053562,0.205159,0.156657,0.024953,0.172047,0.071047,0.060376,0.029375,0.103224,0.044303,0.101634
sample_118,0.166371,0.181695,0.134689,0.070875,0.154413,0.034226,0.153189,0.199071,0.265761,0.059000,0.214997,0.142791,0.129365,0.126068,0.171991,0.162355,0.128566,0.445457,0.262814,0.053510
sample_119,0.141968,0.120475,0.131741,0.072014,-0.013356,-0.002802,0.078247,0.109906,0.113345,0.003258,0.157432,0.187558,0.243335,0.161618,0.076152,0.174662,0.086553,0.194631,0.536627,0.046235
sample_120,0.131840,0.227205,0.165263,0.068015,0.120218,0.125287,0.077911,0.210016,0.162731,-0.012240,0.116452,0.147782,0.230660,0.149390,0.130698,0.163788,0.184001,0.288458,0.373634,0.094887
sample_121,0.185288,0.036552,0.088825,0.124247,0.060989,0.046855,0.027818,0.042901,0.011293,0.009152,0.021776,0.157817,0.142409,0.143206,0.101410,0.014719,0.037836,0.085162,0.405336,0.080757
sample_122,0.219419,0.096766,0.063607,0.080230,0.013126,0.034385,0.018908,0.202327,0.097869,0.036977,0.181562,0.157075,0.177665,0.153914,0.127613,0.089656,0.010927,0.129447,0.488307,0.117864
sample_123,-0.052350,0.088154,0.189764,0.043326,-0.087243,0.008916,0.115116,0.051558,0.149984,0.065794,0.053168,0.210828,0.049105,0.117599,0.180577,0.150884,0.057972,0.228937,0.190864,0.003541
sample_124,0.266692,0.165772,0.061956,0.061859,0.127913,0.148970,0.000732,0.224079,0.220540,0.089618,0.290368,0.030854,0.201253,0.206410,0.099376,0.171372,-0.014289,0.127182,0.355327,0.103248
sample_125,0.182243,0.155865,0.106627,0.087599,0.083712,0.056420,0.095010,0.187580,0.019458,-0.043588,0.116364,0.140313,0.252501,0.113318,0.081487,0.099113,0.121075,0.134615,0.542868,0.093056
sample_126,0.059291,0.192970,0.008310,0.060077,0.097853,0.159945,0.079941,0.192581,0.053885,0.004635,0.037823,0.057419,0.104138,0.138739,0.294255,0.187245,0.080408,0.125969,0.366305,0.148668
sample_127,0.232820,0.085289,0.057238,-0.025339,0.154528,0.144843,0.056229,0.129718,0.348939,0.077003,0.260471,0.069994,0.095651,0.307117,0.043438,0.134611,0.035258,0.103830,0.096142,0.079827
sample_128,0.147023,0.128821,0.095590,0.085540,0.086606,0.101586,0.050888,0.112537,0.115026,-0.047469,0.044188,0.156483,0.188471,0.140321,0.110985,0.109080,0.124289,0.140830,0.487990,0.167321
