sample_idx,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
sample_161,13,14,4,8,0,10,5,18,7,1
sample_162,14,18,7,13,17,5,1,4,3,19
sample_163,18,12,17,11,15,1,3,7,6,2
sample_164,18,11,13,0,10,7,12,8,6,17
sample_165,13,18,10,19,7,8,14,4,0,5
sample_166,18,13,4,17,8,0,14,10,16,7
sample_167,18,17,14,13,1,5,15,12,3,7
sample_168,18,10,0,8,13,7,17,5,12,15
sample_169,18,17,1,7,5,14,12,19,16,13
sample_170,19,14,18,3,0,10,17,6,7,8
sample_171,19,14,3,1,7,18,4,0,8,10
sample_172,19,14,18,3,7,1,13,0,17,16
